category,module_title,module_file,question_id,question_type,question,answers,answer_options
Initial,Vital-First Routing Boundary,Case_Question_design.md,INIT-1,Single choice,What is your biological gender?,[ ] Male [ ] Female [ ] Other,Male; Female; Other
Initial,Vital-First Routing Boundary,Case_Question_design.md,INIT-2,Number,What is your age?,Number_pad,
Initial,Vital-First Routing Boundary,Case_Question_design.md,INIT-3,Single choice,What brings you here?,"[ ] headache [ ] sore throat [ ] abdominal pain [ ] chest pain [ ] shortness of breath [ ] palpitation [ ] fainting [ ] fever [ ] dizziness [ ] trauma [ ] skin problem [ ] allergy [ ] urinary symptoms [ ] cough / cold symptoms [ ] diarrhea [ ] back pain [ ] eye problem [ ] ear / nose / throat problem [ ] chronic follow-up [ ] nausea / vomiting [ ] weakness / fatigue [ ] limb pain / swelling","headache; sore throat; abdominal pain; chest pain; shortness of breath; palpitation; fainting; fever; dizziness; trauma; skin problem; allergy; urinary symptoms; cough / cold symptoms; diarrhea; back pain; eye problem; ear / nose / throat problem; chronic follow-up; nausea / vomiting; weakness / fatigue; limb pain / swelling"
Initial,Vital-First Routing Boundary,Case_Question_design.md,INIT-4,Time,How long have you had this?,time,
